ID,Metric Name,Definition,Footnote,Calculation,Usage Guidance,Primary Impact Category,Cross-Category,Impact Category & Theme,Agriculture,Smallholder Agriculture,Sustainable Agriculture,Food Security,Air,Clean Air,Biodiversity and Ecosystems,Biodiversity and Ecosystem Conservation,Climate,Climate Change Mitigation,Climate Resilience and Adaptation,Diversity and Inclusion,Gender Lens,Racial Equity,Education,Access to Quality Education,Employment,Quality Jobs,Energy,Energy Access,Clean Energy,Energy Efficiency,Financial Services,Financial Inclusion,Health,Access to Quality Healthcare,Nutrition,Infrastructure,Resilient Infrastructure,Land,Natural Resources Conservation,Sustainable Land Management,Sustainable Forestry,Oceans and Coastal Zones,Marine Resources Conservation & Management,Pollution,Pollution Prevention,Real Estate,Affordable Quality Housing,Green Buildings,Waste,Waste Management,Water,"Water, Sanitation and Hygiene (WASH)",Sustainable Water Management,Social and/or Environmental Focus,Environmental,Social,Section,Subsection,Citation,Metric Type,Related Metrics,Metric Level,Metric Quantity Type,Reporting Format,SDGs,SDG 1: No Poverty,SDG Target 1.1.,SDG Target 1.2.,SDG Target 1.3.,SDG Target 1.4.,SDG Target 1.5.,SDG Target 1.a.,SDG Target 1.b.,SDG 2: Zero Hunger,SDG Target 2.1.,SDG Target 2.2.,SDG Target 2.3.,SDG Target 2.4.,SDG Target 2.5.,SDG Target 2.a.,SDG Target 2.b.,SDG Target 2.c.,SDG 3: Good Health and Well-being,SDG Target 3.1.,SDG Target 3.2.,SDG Target 3.3.,SDG Target 3.4.,SDG Target 3.5.,SDG Target 3.6.,SDG Target 3.7.,SDG Target 3.8.,SDG Target 3.9.,SDG Target 3.a.,SDG Target 3.b.,SDG Target 3.c.,SDG Target 3.d.,SDG 4: Quality Education,SDG Target 4.1.,SDG Target 4.2.,SDG Target 4.3.,SDG Target 4.4.,SDG Target 4.5.,SDG Target 4.6.,SDG Target 4.7.,SDG Target 4.a.,SDG Target 4.b.,SDG Target 4.c.,SDG 5: Gender Equality,SDG Target 5.1.,SDG Target 5.2.,SDG Target 5.3.,SDG Target 5.4.,SDG Target 5.5.,SDG Target 5.6.,SDG Target 5.a.,SDG Target 5.b.,SDG Target 5.c.,SDG 6: Clean Water and Sanitation,SDG Target 6.1.,SDG Target 6.2.,SDG Target 6.3.,SDG Target 6.4.,SDG Target 6.5.,SDG Target 6.6.,SDG Target 6.a.,SDG Target 6.b.,SDG 7: Affordable and Clean Energy,SDG Target 7.1.,SDG Target 7.2.,SDG Target 7.3.,SDG Target 7.a.,SDG Target 7.b.,SDG 8: Decent Work and Economic Growth,SDG Target 8.1.,SDG Target 8.2.,SDG Target 8.3.,SDG Target 8.4.,SDG Target 8.5.,SDG Target 8.6.,SDG Target 8.7.,SDG Target 8.8.,SDG Target 8.9.,SDG Target 8.10,SDG Target 8.a.,SDG Target 8.b.,"SDG 9: Industry, Innovation and Infrastructure",SDG Target 9.1.,SDG Target 9.2.,SDG Target 9.3.,SDG Target 9.4.,SDG Target 9.5.,SDG Target 9.a.,SDG Target 9.b.,SDG Target 9.c.,SDG 10: Reduced Inequalities,SDG Target 10.1.,SDG Target 10.2.,SDG Target 10.3.,SDG Target 10.4.,SDG Target 10.5.,SDG Target 10.6.,SDG Target 10.7.,SDG Target 10.a.,SDG Target 10.b.,SDG Target 10.c.,SDG 11: Sustainable Cities and Communities,SDG Target 11.1.,SDG Target 11.2.,SDG Target 11.3.,SDG Target 11.4.,SDG Target 11.5.,SDG Target 11.6.,SDG Target 11.7.,SDG Target 11.a.,SDG Target 11.b.,SDG Target 11.c.,SDG 12: Responsible Consumption and Production,SDG Target 12.1.,SDG Target 12.2.,SDG Target 12.3.,SDG Target 12.4.,SDG Target 12.5.,SDG Target 12.6.,SDG Target 12.7.,SDG Target 12.8.,SDG Target 12.a.,SDG Target 12.b.,SDG Target 12.c.,SDG 13: Climate Action,SDG Target 13.1.,SDG Target 13.2.,SDG Target 13.3.,SDG Target 13.a.,SDG Target 13.b.,SDG 14: Life Below Water,SDG Target 14.1.,SDG Target 14.2.,SDG Target 14.3.,SDG Target 14.4.,SDG Target 14.5.,SDG Target 14.6.,SDG Target 14.7.,SDG Target 14.a.,SDG Target 14.b.,SDG Target 14.c.,SDG 15: Life on Land,SDG Target 15.1.,SDG Target 15.2.,SDG Target 15.3.,SDG Target 15.4.,SDG Target 15.5.,SDG Target 15.6.,SDG Target 15.7.,SDG Target 15.8.,SDG Target 15.9.,SDG Target 15.a.,SDG Target 15.b.,SDG Target 15.c.,"SDG 16: Peace, Justice and Institutions",SDG Target 16.1.,SDG Target 16.2.,SDG Target 16.3.,SDG Target 16.4.,SDG Target 16.5.,SDG Target 16.6.,SDG Target 16.7.,SDG Target 16.8.,SDG Target 16.9.,SDG Target 16.10.,SDG Target 16.a.,SDG Target 16.b.,SDG 17: Partnerships for the Goals,Dimensions of Impact,What,Who,How Much Scale,How Much Depth,How Much Duration,Contribution Depth,Contribution Duration,Risk,JII Impact Indicators,JII Gender,JII Jobs,JII Climate,Aligned JII Indicators,JII Guidance,Stakeholders,Clients,Distributors,Employees,Environment,Suppliers,Operational Impact,Environmental Policies & Performance,Social Policies & Performance,Governance & Ownership,Investment Lens,Gender,Geographic Setting,Minority and Disabled,Poverty Level,Small-and-Medium Enterprises,Financials,Balance Sheet,Cash Flow,Income Statement,Other Financial,IRIS Reports,Reporting Info,Organization Info,Discontinued Metrics
PI8470,Distributor Individuals: Historically Marginalized,Number of individuals who belong to groups historically marginalized on the basis of race and/or ethnicity and who served as distributors of the organization’s products/services during the reporting period.,"Organizations should footnote all assumptions used, including their categorization of historically marginalized groups. See usage guidance for further information.",,"This metric is intended to capture how many self-employed individuals who belong to a group historically marginalized on the basis of race and/or ethnicity sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail).

Distributors counted under this metric need not exclusively sell the organization’s products or services. Direct employees who distribute the organization's goods or services should be considered employees, not distributors.

The categorization of historically marginalized groups varies with location and context. With no internationally agreed-upon definition as to which groups constitute historically marginalized on the basis of race and/or ethnicity, if well-established local policies exist (as in South Africa, with the Broad Based Black Economic Empowerment [BBBEE] definition of historically marginalized, or in India, based on backward caste), organizations should refer to these local guidelines to identify groups historically marginalized on the basis of race and/or ethnicity. Otherwise, and wherever appropriate, organizations should provide additional detail regarding their tailored methodology for defining these groups.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Minorities/Previously Excluded (PI8470). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
PI2125,Distributor Individuals: Low Income,Number of low-income individuals who served as distributors of the organization's products/services during the reporting period.,"Organizations should footnote all assumptions used, including the assessment tools used to identify low-income distributors. See usage guidance for further information.",,"This metric is intended to capture how many self-employed, low-income individuals sold the organization's products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail).

Distributors counted under this metric need not exclusively sell the organization's products or services. Direct employees who distribute the organization's goods or services should be considered employees, not distributors.

The population classified as low income includes all those who fall below a fixed threshold, which includes those classified as poor or very poor. Because assessing the poverty level of distributors is complex, organizations will likely use specific assessment tools to accurately report on this metric. See the glossary definition for additional information on commonly used tools to help determine the absolute poverty level of individuals and households.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Low Income (PI2125). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,
PI3995,Distributor Individuals: Peri-urban,Number of individuals residing in peri-urban areas who served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many self-employed peri-urban individuals sold the organization’s products or services, either to other distributors (wholesale) or to ultimate consumers (retail), during the reporting period.

Distributors counted under this metric need not exclusively sell the organization’s products or services. Direct employees who distribute the organization’s goods or services should be considered employees, not distributors.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Peri-urban (PI3995). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,
PI9516,Distributor Individuals: Poor,Number of poor individuals who served as distributors of the organization’s products/services during the reporting period.,"Organizations should footnote all assumptions used, including details on the assessment tools used to identify the poverty level of distributors. See usage guidance for further information.",,"This metric is intended to capture how many self-employed poor individuals sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail). This is a measure of how organizations support individuals living in poverty through their distribution chains.

Distributors counted under this metric need not exclusively sell the organization's products or services. Direct employees who distribute the organization's goods or services should be considered employees, not distributors.

Because assessing the poverty level of stakeholders is complex, organizations will likely have to use specific assessment tools to accurately report on this metric. See the glossary definition for additional information on commonly used tools to help determine the absolute poverty level of individuals and households.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Poor (PI9516). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,
PI3972,Distributor Individuals: Rural,Number of individuals residing in rural areas who served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many self-employed rural individuals sold the organization’s products or services, either to other distributors (wholesale) or to ultimate consumers (retail), during the reporting period.

Distributors counted under this metric need not exclusively sell the organization’s products or services. Direct employees who distribute the organization’s goods or services should be considered employees, not distributors.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Rural (PI3972). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,
PI2758,Distributor Individuals: Total,Number of individuals who served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many self-employed individuals sold the organization’s products or services, either to other distributors (wholesale) or to ultimate consumers (retail), during the reporting period. Organizations wishing to report on distributor organizations should instead use Distributor Organizations: Total (PI1060) and its related submetrics.

Distributors need not exclusively sell the organization’s products or services. Direct employees who distribute the organization’s goods or services should be considered employees, not distributors.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Total (PI2758). v5.2.",Metric,,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
PI8982,Distributor Individuals: Urban,Number of individuals residing in urban areas who served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many self-employed urban individuals sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail).

Distributors counted under this metric need not exclusively sell the organization’s products or services. Direct employees who distribute the organization's goods or services should be considered employees, not distributors.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Urban (PI8982). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,
PI9113,Distributor Individuals: Very Poor,Number of very poor individuals who served as distributors of the organization’s products/services during the reporting period.,"Organizations should footnote all assumptions used, including details on the assessment tools used to identify the poverty level of distributors. See usage guidance for further information.",,"This metric is intended to capture how many self-employed very poor individuals sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail). This is a measure of how organizations support individuals living in poverty through their distribution chains.

Distributors counted under this metric need not exclusively sell the organization’s products or services. Direct employees who distribute the organization's goods or services should be considered employees, not distributors.

Because assessing the poverty level of stakeholders is complex, organizations will likely have to use specific assessment tools to accurately report on this metric. See the glossary definition for additional information on commonly used tools to help determine the absolute poverty level of individuals and households.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Individuals: Very Poor (PI9113). v5.2.",Submetric,PI2758,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,
PI8415,Distributor Organizations: Microenterprises,Number of microenterprises that served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many microenterprises sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail). Distributors counted under this metric need not exclusively sell the organization’s products or services.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Organizations: Microenterprises (PI8415). v5.2.",Submetric,PI1060,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,
PI9401,Distributor Organizations: SME,Number of small and medium-sized enterprises (SMEs) that served as distributors of the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many small and medium-sized enterprises sold the organization’s products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail). Distributors counted under this metric need not exclusively sell the organization’s products or services.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Organizations: SME (PI9401). v5.2.",Submetric,PI1060,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,
PI1060,Distributor Organizations: Total,Number of enterprises that served as distributors of the organization's products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture how many organizations sold the organization's products or services during the reporting period, either to other distributors (wholesale) or to ultimate consumers (retail). Distributors counted under this metric need not exclusively sell the organization’s products or services.

Organizations wishing to report on individuals who are distributors should instead use Distributor Individuals: Total (PI2758) and its associated submetrics.

This metric is multi-dimensional with regard to the five dimensions of impact: it may help describe the WHO dimension when the stakeholder group represented by the metric is the stakeholder group targeted by the investment or organization. It may also help measure the HOW MUCH Scale dimension, which helps estimate the number of the targeted stakeholders experiencing the outcome. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Distributor Organizations: Total (PI1060). v5.2.",Metric,,"Product/Service, Organization",Flow,Unit Referenced within Metric Definition,,X,,,,X,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,X,,,,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
OI9485,Diverse Representation Policy,Indicates whether the company has a written policy on diverse representation and a system to monitor compliance with this policy.,"Organizations should footnote at what levels of the organization this policy applies (including board of directors, C-suite, and management levels), as well as what mechanisms are in place to enforce this policy.",,"This metric is intended to capture the organization’s policy on diverse representation. Organizations using this metric should consider whether their policy accounts for the representation of women; members of groups historically marginalized on the basis of race and/or ethnicity, including people of color; gender and sexual minorities; and people living with disabilities.",Cross-Category,X,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Operational Impact,Social Policies,"IRIS, 2021. Diverse Representation Policy (OI9485). v5.2.",Metric,,Organization,Stock,Yes/No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,,,
PI2551,Earnings of Distributor Individuals: Female,Earnings of female individual distributors as a result of selling the organization’s products/services during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture the total gross margin earned by, or commission paid to, individual female distributors, a measure of how organizations support the livelihoods of women through their distribution chains.",Cross-Category,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Distributor Information,"IRIS, 2021. Earnings of Distributor Individuals: Female (PI2551). v5.2.",Submetric,PI4881,"Product/Service, Organization",Flow,Reporting Currency (OD5990),,X,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,
